SUPL,PLANT,S.DOCK,COMP,PLANT,DOCK,Production Routing,PART #,T/C FROM(UNL),T/C TO (UNL),PART DESC,Life Cycle Code,Team Member,Model Name,ORD Method,BvsC REF,KBN,QTY /CONT,V.SHARE FLG[SYS L/O DATE BASIS],V.SHARE VALUE,PC DELIV,PC SAFETY,LS DELIV,LS SAFTY,Safety(PCS),Packaging Type,Part PCS Weight(g),PACK QTY/CONT,Latest Physical Inventory DTE & Time,Create User,Create Date Time,Update User,Update Date Time,V.SHARE GROUP
5560,1,   ,807D,4,43,      ,75730VT01000,20260901,99991231,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,616F,20, ,,0,21,26,30,1,TP3102            ,155,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT02000,20260501,20260531,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,617F,20, ,,0,19,26,42,2,TP3102            ,252,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT02000,20260601,20260604,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,617F,20, ,,0,19,26,42,5,TP3102            ,252,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT02000,20260605,20260630,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,617F,20, ,,0,19,26,42,1,TP3102            ,252,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT02000,20260701,20260731,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,617F,20, ,,0,19,26,42,2,TP3102            ,252,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT02000,20260801,20260831,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,617F,20, ,,0,19,26,28,1,TP3102            ,252,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75730VT02000,20260901,99991231,MOULDING ASSY  RR DOOR BELT  RH,0,,874W,1,0,617F,20, ,,0,21,26,30,1,TP3102            ,252,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT01000,20260501,20260531,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,618F,20, ,,0,19,26,42,3,TP3102            ,155,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT01000,20260601,20260604,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,618F,20, ,,0,19,26,42,7,TP3102            ,155,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT01000,20260605,20260731,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,618F,20, ,,0,19,26,42,1,TP3102            ,155,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT01000,20260801,20260831,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,618F,20, ,,0,19,26,28,1,TP3102            ,155,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT01000,20260901,99991231,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,618F,20, ,,0,21,26,30,1,TP3102            ,155,20,202608310700,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
5560,1,   ,807D,4,43,      ,75740VT02000,20260501,20260531,MOULDING ASSY  RR DOOR BELT  LH,0,,874W,1,0,619F,20, ,,0,19,26,42,2,TP3102            ,252,20,            ,PS06542         ,01-SEP-26,PS06542         ,01-SEP-26,   
